pole_length_cm,pole_length_px,pixel_cm_conversion,width,height
168.0,,,2376,4224
168.0,125.71428571428571,1.3363636363636364,2376,4224
168.0,50.285714285714285,3.340909090909091,2376,4224
168.0,150.85714285714286,1.1136363636363635,2376,4224
168.0,50.285714285714285,3.340909090909091,2376,4224
168.0,201.14285714285714,0.8352272727272727,2376,4224
168.0,251.42857142857142,0.6681818181818182,2376,4224
168.0,251.42857142857142,0.6681818181818182,2376,4224
168.0,150.85714285714286,1.1136363636363635,2376,4224
168.0,,,2376,4224
168.0,,,2376,4224
168.0,,,2376,4224
168.0,50.285714285714285,3.340909090909091,2376,4224
168.0,,,2376,4224
168.0,,,2376,4224
168.0,,,2376,4224
168.0,,,2376,4224
168.0,,,2376,4224
168.0,,,2376,4224
168.0,50.285714285714285,3.340909090909091,2376,4224
168.0,125.71428571428571,1.3363636363636364,2376,4224
168.0,,,2376,4224
168.0,,,2376,4224
168.0,,,2376,4224
168.0,,,2376,4224
168.0,,,2376,4224
168.0,452.57142857142856,0.3712121212121212,2376,4224
168.0,452.57142857142856,0.3712121212121212,2376,4224
168.0,377.14285714285717,0.44545454545454544,2376,4224
168.0,352.0,0.4772727272727273,2376,4224
168.0,301.7142857142857,0.5568181818181818,2376,4224
168.0,301.7142857142857,0.5568181818181818,2376,4224
168.0,301.7142857142857,0.5568181818181818,2376,4224
168.0,301.7142857142857,0.5568181818181818,2376,4224
168.0,301.7142857142857,0.5568181818181818,2376,4224
168.0,301.7142857142857,0.5568181818181818,2376,4224
168.0,301.7142857142857,0.5568181818181818,2376,4224
168.0,352.0,0.4772727272727273,2376,4224
168.0,251.42857142857142,0.6681818181818182,2376,4224
168.0,251.42857142857142,0.6681818181818182,2376,4224
168.0,251.42857142857142,0.6681818181818182,2376,4224
168.0,251.42857142857142,0.6681818181818182,2376,4224
168.0,452.57142857142856,0.3712121212121212,2376,4224
168.0,402.2857142857143,0.41761363636363635,2376,4224
168.0,352.0,0.4772727272727273,2376,4224
168.0,100.57142857142857,1.6704545454545454,2376,4224
168.0,150.85714285714286,1.1136363636363635,2376,4224
168.0,150.85714285714286,1.1136363636363635,2376,4224
168.0,150.85714285714286,1.1136363636363635,2376,4224
168.0,251.42857142857142,0.6681818181818182,2376,4224
168.0,301.7142857142857,0.5568181818181818,2376,4224
168.0,251.42857142857142,0.6681818181818182,2376,4224
168.0,251.42857142857142,0.6681818181818182,2376,4224
168.0,150.85714285714286,1.1136363636363635,2376,4224
168.0,50.285714285714285,3.340909090909091,2376,4224
168.0,50.285714285714285,3.340909090909091,2376,4224
168.0,50.285714285714285,3.340909090909091,2376,4224
168.0,50.285714285714285,3.340909090909091,2376,4224
168.0,25.142857142857142,6.681818181818182,2376,4224
168.0,25.142857142857142,6.681818181818182,2376,4224
168.0,25.142857142857142,6.681818181818182,2376,4224
168.0,25.142857142857142,6.681818181818182,2376,4224
168.0,25.142857142857142,6.681818181818182,2376,4224
168.0,,,2376,4224
168.0,,,2376,4224
168.0,,,2376,4224
168.0,,,2376,4224
168.0,,,2376,4224
168.0,502.85714285714283,0.3340909090909091,2376,4224
168.0,553.1428571428572,0.30371900826446274,2376,4224
168.0,553.1428571428572,0.30371900826446274,2376,4224
168.0,502.85714285714283,0.3340909090909091,2376,4224
168.0,502.85714285714283,0.3340909090909091,2376,4224
168.0,402.2857142857143,0.41761363636363635,2376,4224
168.0,402.2857142857143,0.41761363636363635,2376,4224
168.0,452.57142857142856,0.3712121212121212,2376,4224
168.0,402.2857142857143,0.41761363636363635,2376,4224
168.0,402.2857142857143,0.41761363636363635,2376,4224
168.0,402.2857142857143,0.41761363636363635,2376,4224
168.0,402.2857142857143,0.41761363636363635,2376,4224
168.0,402.2857142857143,0.41761363636363635,2376,4224
168.0,452.57142857142856,0.3712121212121212,2376,4224
168.0,452.57142857142856,0.3712121212121212,2376,4224
168.0,452.57142857142856,0.3712121212121212,2376,4224
168.0,452.57142857142856,0.3712121212121212,2376,4224
168.0,452.57142857142856,0.3712121212121212,2376,4224
168.0,502.85714285714283,0.3340909090909091,2376,4224
168.0,502.85714285714283,0.3340909090909091,2376,4224
168.0,502.85714285714283,0.3340909090909091,2376,4224
168.0,502.85714285714283,0.3340909090909091,2376,4224
168.0,452.57142857142856,0.3712121212121212,2376,4224
168.0,452.57142857142856,0.3712121212121212,2376,4224
168.0,402.2857142857143,0.41761363636363635,2376,4224
